Kilometre,Marka,Model,Model Yılı,Motor Hacmi,Plaka,Renk,Ruhsat Cins ,Ruhsat Tip,Varyant,Vites Tipi,Yakıt Türü,Yetki Belge No,Çekiş Tipi,url,price
28.609,AUDI,Q3,2022.0,"1,5",34FYJ659,Siyah,OTOMOBİL(AC STATION) ,F3,35 TFSI 150HP STR ADVANCED,Yarı Otomatik,Benzin,4200148.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/q3/benzin/35-tfsi-150hp-str-advanced-1332935,2.034.000 TL
17.359,VOLVO,XC90,2022.0,2,34GAL270,DENİM MAVİ,OTOMOBİL(AF MPV) ,L,B5 AWD MİLD HYBRİD PLUS BRIGHT,Otomatik,Dizel,3500164.0,,https://www.otokocikinciel.com/ikinci-el-volvo/xc90/dizel/b5-awd-mild-hybrid-plus-bright-1335471,4.693.000 TL
47.229,MERCEDES,E-SERISI,2022.0,"1,6",34FCN623,Siyah, ,,1.6 E 200 D EXCLUSIVE AUTO,Otomatik,Dizel,3400132.0,Arkadan,https://www.otokocikinciel.com/ikinci-el-mercedes/e-serisi/dizel/16-e-200-d-exclusive-auto-1300435,2.893.000 TL
63.714,FIAT,EGEA,2020.0,"1,2",34DAK593,Beyaz,(OTOMOBİL(AA SEDAN) ,356,1.3 MJET 95 HP EU6D EASY,Manuel,Dizel,1600270.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6d-easy-1251833,642.000 TL
44.317,FIAT,EGEA,2020.0,"1,6",34DHN834,Beyaz,(OTOMOBİL(AA SEDAN) ,356,1.6 MJET 120 HP EU6D URBAN PLUS DCT,Yarı Otomatik,Dizel,1600270.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/16-mjet-120-hp-eu6d-urban-plus-dct-1258000,780.500 TL
51.607,HYUNDAI,ELANTRA,2022.0,"1,6",34FPV778,Beyaz,OTOMOBİL(AA SEDAN) ,CN7,1.6 MPI 123 PS STYLE COMFORT BENZİN CVT,Otomatik,Benzin,5500075.0,Önden,https://www.otokocikinciel.com/ikinci-el-hyundai/elantra/benzin/16-mpi-123-ps-style-comfort-benzin-cvt-1323857,874.000 TL
56.43,SKODA,SUPERB,2021.0,"1,5",34EIS140,Gri,OTOMOBİL(AA SEDAN) ,3T,1.5 TSI 150 PS DSG ACT PREMIUM,Yarı Otomatik,Benzin,3500164.0,Önden,https://www.otokocikinciel.com/ikinci-el-skoda/superb/benzin/15-tsi-150-ps-dsg-act-premium-1282548,1.267.000 TL
55.751,AUDI,Q3,2022.0,"1,5",34FJF026,Siyah,OTOMOBİL(AC STATION) ,F3,35 TFSI 150HP STR ADVANCED,Yarı Otomatik,Benzin,3400132.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/q3/benzin/35-tfsi-150hp-str-advanced-1312280,1.958.000 TL
36.742,VOLVO,XC40,2022.0,"1,5",34FOD029,ONYX Siyah,OTOMOBİL(AC STATİON) ,X,1.5 T2 129HP PLUS BRIGHT 8AT,Otomatik,Benzin,3400132.0,Önden,https://www.otokocikinciel.com/ikinci-el-volvo/xc40/benzin/15-t2-129hp-plus-bright-8at-1319986,2.112.000 TL
119.926,FIAT,EGEA,2019.0,"1,3",34CCG489,Beyaz, ,,1.3 MJET 95 HP EU6 EASY,Manuel,Dizel,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6-easy-2228696,582.500 TL
