Kilometre,Marka,Model,Model Yılı,Motor Hacmi,Plaka,Renk,Ruhsat Cins ,Ruhsat Tip,Varyant,Vites Tipi,Yakıt Türü,Yetki Belge No,Çekiş Tipi,url,price
127.063,FORD,FOCUS,2014.0,"1,6",38HY236,Beyaz,OTOMOBİL(AA SEDAN) ,DYB,TITANIUM 1.6I 125PS 4K,Manuel,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/benzin/titanium-16i-125ps-4k-3345593,725.000 TL
235.838,HYUNDAI,I20,2011.0,"1,4",50EC546,Kırmızı,OTOMOBİL(AB HEÇBEK) ,PBT LPG Lİ,1.4 CVVT TEAM,Manuel,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-hyundai/i20/benzin/14-cvvt-team-3345468,485.000 TL
68.869,SEAT,ATECA,2021.0,"1,5",34EAU719,Gri,OTOMOBİL(AC STATION) ,5FP,1.5 ECOTSI ACT 150 HP DSG S&S XPERIENCE,Yarı Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-seat/ateca/benzin/15-ecotsi-act-150-hp-dsg-ss-xperience-3271462,1.290.000 TL
124.9,HONDA,CIVIC,2019.0,"1,6",34CGE158,Beyaz,OTOMOBİL(AA SEDAN) ,FK,1.6 EXECUTIVE CVT,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-honda/civic/benzin/16-executive-cvt-3350825,1.085.000 TL
62.372,SEAT,ATECA,2021.0,"1,5",34EIT261,Gri,OTOMOBİL(AC STATION) ,5FP,1.5 ECOTSI ACT 150 HP DSG S&S XPERIENCE,Yarı Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-seat/ateca/benzin/15-ecotsi-act-150-hp-dsg-ss-xperience-3282377,1.240.000 TL
102.577,OPEL,GRANDLAND X,2017.0,"1,6",34BDY540,Gri,OTOMOBİL (AF ÇOK AMAÇLI) ,Z,1.6 DIESEL 120 HP ENJOY AUTO,Otomatik,Dizel,2000129.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/grandland-x/dizel/16-diesel-120-hp-enjoy-auto-3352742,940.000 TL
112.387,RENAULT,MEGANE,2010.0,"1,6",54AFU021,Siyah,OTOMOBİL(AA SEDAN) ,MEGANE,II 1.6 16V EXPRESSION BVA EU4,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/benzin/ii-16-16v-expression-bva-eu4-3352126,565.000 TL
145.562,FORD,FOCUS,2018.0,"1,5",34BTM560,Buz Beyazı+K.Gri Kumaş,OTOMOBİL (AA SEDAN) ,DYB,1.5L TDCI 120PS EU6 4K PWS TITANIUM,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-eu6-4k-pws-titanium-3216644,855.000 TL
66.876,CITROEN,C-ELYSEE,2021.0,"1,5",34ECF458,Gri,OTOMOBİL(AA SEDAN) ,D,FEEL 1.5 BLUEHDI 100HP,Manuel,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-citroen/c-elysee/dizel/feel-15-bluehdi-100hp-3353959,635.000 TL
92.0,OPEL,ASTRA,2016.0,"1,4",38AFZ526,Kırmızı,OTOMOBİL(AB HEÇBEK) ,B-K,HB 1.4 150 HP AT6 S&S ENJOY,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/astra/benzin/hb-14-150-hp-at6-ss-enjoy-3350838,815.000 TL
113.361,DACIA,DUSTER,2018.0,"1,5",34BEJ202,Beyaz,(OTOMOBİL(AC STATİON) ,SR,PRESTIGE 1.5 dCi 110 BG EDC 4x2,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-dacia/duster/dizel/prestige-15-dci-110-bg-edc-4x2-3352202,830.000 TL
136.215,DACIA,DUSTER,2018.0,"1,5",34BEH973,Beyaz,OTOMOBİL (AC STEYŞIN) ,SR,PRESTIGE 1.5 dCi 110 BG EDC 4x2,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-dacia/duster/dizel/prestige-15-dci-110-bg-edc-4x2-3352206,855.000 TL
88.394,CITROEN,C3 AIRCROSS,2021.0,"1,2",38ADG863,Gri,OTOMOBİL(AF ÇOK AMAÇLI) ,2,1.2 PURETECH 130HP EAT6 SHINE,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-citroen/c3-aircross/benzin/12-puretech-130hp-eat6-shine-3353177,926.000 TL
71.57,HYUNDAI,KONA,2018.0,"1,6",38ABZ157,Yeşil,OTOMOBİL(AF ÇOK AMAÇLI) ,OS,1.6 ELITE DCT (BENZİNLİ),Yarı Otomatik,Benzin,3400031.0,,https://www.otokocikinciel.com/ikinci-el-hyundai/kona/benzin/16-elite-dct-benzinli-3373751,975.000 TL
78.38,BMW,3 SERISI,2020.0,"1,6",34DOY336,Beyaz,(OTOMOBİL(AA SEDAN) ,G3L,1.6 320I A SPORT LINE,Otomatik,Benzin,3400031.0,Arkadan,https://www.otokocikinciel.com/ikinci-el-bmw/3-serisi/benzin/16-320i-a-sport-line-3263054,1.950.000 TL
61.521,FORD,PUMA,2021.0,1,06CZB187,BUZ BEYAZI, ,,STYLE 1.0 ECOBOOST 125PS 7 OTOMATİK,Yarı Otomatik,Benzin,2000129.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/puma/benzin/style-10-ecoboost-125ps-7-otomatik-3370207,1.200.000 TL
32.991,VOLKSWAGEN,T-ROC,2022.0,"1,5",34FFE178,Beyaz,OTOMOBİL(AC STEYŞIN) ,F3,1.5 TSI 150PS R-LINE DSG,Yarı Otomatik,Benzin,2000129.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/t-roc/benzin/15-tsi-150ps-r-line-dsg-3366947,1.600.000 TL
28.85,AUDI,A3,2021.0,"1,5",34CHS035,Siyah,OTOMOBİL(AA SEDAN) ,GY,SEDAN 35 TFSI 150 HP ADVANCED STR,Yarı Otomatik,Benzin,2000129.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/a3/benzin/sedan-35-tfsi-150-hp-advanced-str-3366976,1.596.000 TL
32.962,VOLKSWAGEN,GOLF,2022.0,1,34FKF735,Siyah, ,,1.0 ETSI 110PS STYLE DSG,Yarı Otomatik,Benzin,2000129.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/golf/benzin/10-etsi-110ps-style-dsg-3366943,1.310.000 TL
12.796,HONDA,ACCORD,2022.0,"1,5",34AEH112,Beyaz,OTOMOBİL(AA SEDAN) ,CV,1.5L VTEC TURBO EXECUTIVE+ CVT,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-honda/accord/benzin/15l-vtec-turbo-executive-cvt-3380176,1.715.000 TL
91.484,VOLKSWAGEN,PASSAT,2020.0,"1,6",35ACN464,Siyah, ,,1.6 TDI SCR 120 PS BUSINESS DSG,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/passat/dizel/16-tdi-scr-120-ps-business-dsg-3376371,1.395.000 TL
83.565,OPEL,INSIGNIA,2021.0,"1,5",07ASY804,Beyaz,OTOMOBİL AB HECBEK ,Z-B,1.5 DIESEL 122HP GS ELEGANCE AT-8,Otomatik,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/insignia/dizel/15-diesel-122hp-gs-elegance-at-8-3385571,1.284.000 TL
29.483,OPEL,MOKKA,2022.0,"1,2",34FBN546,Yeşil,/OTOMOBİL (AF ÇOK AMAÇLI) ,0U ,1.2 TURBO 130HP ULTIMATE,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/mokka/benzin/12-turbo-130hp-ultimate-3380088,1.360.000 TL
79.9,RENAULT,MEGANE,2021.0,"1,3",06DPF493,Beyaz,OTOMOBİL AA SEDAN ,RFB,SEDAN JOY COMFORT 1.3 TCE 140 BG EDC,Yarı Otomatik,Benzin,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/benzin/sedan-joy-comfort-13-tce-140-bg-edc-3393631,914.000 TL
67.0,OPEL,COMBO,2022.0,"1,5",06CUS839,Beyaz,KAMYONET BB VAN ,E,1.5 DİZEL 102HP MT-6 LIFE EDITION,Manuel,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/combo/dizel/15-dizel-102hp-mt-6-life-edition-3394200,795.000 TL
30.143,AUDI,Q3,2021.0,"1,5",34EDL112,Gri,OTOMOBİL(AC STATİON) ,F3,35 TFSI 150HP STR ADVANCED,Yarı Otomatik,Benzin,3400288.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/q3/benzin/35-tfsi-150hp-str-advanced-2393673,1.877.000 TL
30.475,AUDI,Q3,2021.0,"1,5",34ERU221,Mavi,OTOMOBİL(AC STATİON) ,F3,35 TFSI 150HP STR S LINE,Yarı Otomatik,Benzin,3400163.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/q3/benzin/35-tfsi-150hp-str-s-line-2393665,2.053.000 TL
115.1,NISSAN,QASHQAI,2017.0,"1,5",16AZN427,Beyaz, ,,DCI 130 HP SKYPACK XTRONIC,Otomatik,Dizel,4400081.0,,https://www.otokocikinciel.com/ikinci-el-nissan/qashqai/dizel/dci-130-hp-skypack-xtronic-3364804,960.000 TL
158.49,PEUGEOT,2008,2019.0,"1,5",07AFS388,Beyaz,OTOMOBİL AC STEYŞIN ,C,ALLURE 1.5 BLUEHDI 120 EAT6 EU6.2,Otomatik,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-peugeot/2008/dizel/allure-15-bluehdi-120-eat6-eu62-3379951,855.000 TL
98.05,CITROEN,C3,2019.0,"1,2",07AFN061,Beyaz,OTOMOBİL(AB HATCHBACK) ,S,SHINE 1.2 PURETECH 110HP EAT6 TAMOTO 6.2,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-citroen/c3/benzin/shine-12-puretech-110hp-eat6-tamoto-62-3382308,790.000 TL
106.1,OPEL,CORSA,2020.0,"1,2",07AKN630,Gri,OTOMOBİL AB HECBEK ,U,1.2 BENZİNLİ AT-8 100HP EDITION,Otomatik,Benzin,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/corsa/benzin/12-benzinli-at-8-100hp-edition-3384546,774.000 TL
74.875,TOYOTA,COROLLA,2020.0,"1,8",34DGT513,Beyaz,"(EU,M)OTOMOBİL(AA SEDAN) ",ZE1EE,1.8 HYBRID DREAM E-CVT,Otomatik,Hibrit,3400132.0,Önden,https://www.otokocikinciel.com/ikinci-el-toyota/corolla/hibrit/18-hybrid-dream-e-cvt-1395772,865.000 TL
136.596,KIA,SPORTAGE,2014.0,"1,6",08AAF715,Siyah,OTOMOBİL(AF MPV) ,SLS,1.6 GSL CONCEPT PLUS OTOMATIK,Otomatik,Benzin,5500054.0,Önden,https://www.otokocikinciel.com/ikinci-el-kia/sportage/benzin/16-gsl-concept-plus-otomatik-2395814,790.000 TL
84.027,VOLKSWAGEN,POLO,2020.0,"1,6",34DAA556,Beyaz,OTOMOBİL(AB HECBEK) ,AW,1.6 TDI SCR 95 PS COMFORTLINE DSG,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/polo/dizel/16-tdi-scr-95-ps-comfortline-dsg-3396234,827.000 TL
81.177,RENAULT,MEGANE,2020.0,"1,5",34CTN087,Beyaz,(OTOMOBİL(AA SEDAN) ,RFB,SEDAN TOUCH 1.5 BLUE DCI EDC 115 bg,Yarı Otomatik,Dizel,3400132.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/dizel/sedan-touch-15-blue-dci-edc-115-bg-1400094,807.000 TL
217.8,FIAT,EGEA,2019.0,"1,2",38ABZ820,Beyaz,OTOMOBİL(AA SEDAN) ,358,1.3 MJET 95 HP EU6D URBAN PLUS,Manuel,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6d-urban-plus-3353926,625.000 TL
41.622,FORD,MONDEO,2020.0,"1,5",34DBF089,BUZ BEYAZI, ,,1.5L EB 165PS 4K OTOM. YENI TITANIUM,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/mondeo/benzin/15l-eb-165ps-4k-otom-yeni-titanium-3253811,1.305.000 TL
97.1,RENAULT,MEGANE,2018.0,"1,5",34BUJ679,Beyaz,(OTOMOBİL(AA SEDAN) ,RFB,SEDAN TOUCH 1.5 DCI EDC 110 BG,Yarı Otomatik,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/dizel/sedan-touch-15-dci-edc-110-bg-3386384,860.000 TL
89.883,VOLKSWAGEN,PASSAT,2015.0,"1,4",09ABZ238,Beyaz,Otomobil ,3C,1.4 TSI BMT 122 HP COMFORTLINE,Manuel,Benzin,2000129.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/passat/benzin/14-tsi-bmt-122-hp-comfortline-3403782,900.000 TL
113.668,MERCEDES,C-SERISI,2018.0,"1,6",34BZY621,Beyaz,OTOMOBİL(AA SEDAN ) ,204,C 200 D AMG,Otomatik,Dizel,4700119.0,Arkadan,https://www.otokocikinciel.com/ikinci-el-mercedes/c-serisi/dizel/c-200-d-amg-3222003,1.860.000 TL
94.0,TOYOTA,COROLLA,2019.0,"1,8",34CLN257,Beyaz,OTOMOBİL AA SEDAN ,"ZE1EE(EU,M)",1.8 HYBRID DREAM E-CVT,Otomatik,Hibrit,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-toyota/corolla/hibrit/18-hybrid-dream-e-cvt-3400364,880.000 TL
89.074,SKODA,OCTAVIA,2018.0,"1,6",34BJH938,Beyaz,OTOMOBİL(AA SEDAN) ,5E,OPTIMAL 1.6 TDI CR 115 PS DSG GREEN TEC,Yarı Otomatik,Dizel,3400152.0,Önden,https://www.otokocikinciel.com/ikinci-el-skoda/octavia/dizel/optimal-16-tdi-cr-115-ps-dsg-green-tec-2400973,827.000 TL
69.623,PEUGEOT,208,2016.0,"1,2",16NYG45,Beyaz,OTOMOBİL(AB HATCHBACK) ,C,GT-LINE 1.2 PURETECH 110 HP EAT6 FL,Otomatik,Benzin,1600091.0,Önden,https://www.otokocikinciel.com/ikinci-el-peugeot/208/benzin/gt-line-12-puretech-110-hp-eat6-fl-2404192,750.000 TL
114.962,KIA,SPORTAGE,2017.0,"1,6",23ACA146,Gri,OTOMOBİL AF MPV ,OLF,1.6 BENZIN 132 PS CONCEPT PLUS OTOMATIK,Otomatik,Benzin,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-kia/sportage/benzin/16-benzin-132-ps-concept-plus-otomatik-3386394,940.000 TL
106.839,FORD,FOCUS,2017.0,"1,5",34HE9801,Buz Beyazı+Siyah Kumaş,OTOMOBİL(AA SEDAN) ,DYB,1.5L TDCI 120PS TREND X POWERSHIFT 4K,Otomatik,Dizel,3400031.0,,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-trend-x-powershift-4k-3179510,860.000 TL
69.0,SEAT,IBIZA,2013.0,"1,2",27ASY58,Beyaz,OTOMOBİL AF ÇOK AMAÇLI ,6J,1.2 TSI 105 HP DSG STYLE,Yarı Otomatik,Benzin,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-seat/ibiza/benzin/12-tsi-105-hp-dsg-style-3403153,698.000 TL
64.949,PEUGEOT,3008,2019.0,"1,5",34BGJ880,Beyaz,OTOMOBİ(AF MPV) ,M,ACTIVE LIFE 1.5 BLUEHDi 130HP EAT6 SKYPK,Otomatik,Dizel,5500054.0,Önden,https://www.otokocikinciel.com/ikinci-el-peugeot/3008/dizel/active-life-15-bluehdi-130hp-eat6-skypk-2246533,1.171.000 TL
78.838,SKODA,KODIAQ,2021.0,"1,5",34DYA112,Gri,OTOMOBİL(AC STEYŞIN) ,5N,1.5 TSI 150 PS ACT DSG PRESTIGE EU6.2,Yarı Otomatik,Benzin,3400246.0,Önden,https://www.otokocikinciel.com/ikinci-el-skoda/kodiaq/benzin/15-tsi-150-ps-act-dsg-prestige-eu62-1269044,1.570.000 TL
82.393,VOLKSWAGEN,POLO,2019.0,"1,6",34COZ977,Gri,OTOMOBİL(AB HATCBACK) ,AW,1.6 TDI SCR 95 PS COMFORTLINE DSG,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/polo/dizel/16-tdi-scr-95-ps-comfortline-dsg-3404266,778.500 TL
111.41,VOLKSWAGEN,POLO,2020.0,"1,6",34CSB535,Beyaz,OTOMOBİL(AB HEÇBEK) ,AW,1.6 TDI SCR 95 PS COMFORTLINE DSG,Yarı Otomatik,Dizel,3400246.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/polo/dizel/16-tdi-scr-95-ps-comfortline-dsg-1404059,756.000 TL
39.734,VOLKSWAGEN,POLO,2017.0,"1,2",38JS920,Gri,(OTOMOBİL(AB HATCHBACK) ,6R,1.2 TSI BMT 90 PS COMFORTLINE DSG,Yarı Otomatik,Benzin,100025.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/polo/benzin/12-tsi-bmt-90-ps-comfortline-dsg-2404270,729.000 TL
66.296,NISSAN,QASHQAI,2018.0,"1,2",16ABG500,Beyaz,OTOMOBİL(AF ÇOK AMAÇLI) ,J11,DIG-T 115 HP TEKNA XTRONIC,Otomatik,Benzin,1600091.0,Önden,https://www.otokocikinciel.com/ikinci-el-nissan/qashqai/benzin/dig-t-115-hp-tekna-xtronic-2404584,870.000 TL
84.65,FORD,TOURNEO COURIER,2018.0,"1,5",44ADD093,BUZ BEYAZI,KAMYONET BB VAN ,JT8,1.5 L TDCI 75PS TITANIUM N1,Manuel,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/tourneo-courier/dizel/15-l-tdci-75ps-titanium-n1-3405117,684.000 TL
212.575,MERCEDES,C-SERISI,2011.0,"1,6",26HR081,Beyaz,OTOMOBİL AA SEDAN ,204-C 130 K 1.6,C 180 AMG,Otomatik,Benzin,4400081.0,Arkadan,https://www.otokocikinciel.com/ikinci-el-mercedes/c-serisi/benzin/c-180-amg-3405118,1.098.000 TL
73.386,FORD,FOCUS,2018.0,"1,5",34BTD969,BUZ BEYAZI,OTOMOBİL/(AC STEYŞIN) ,DEH,1.5L TDCI 120PS TITANIUM SW POWERSHIFT,Yarı Otomatik,Dizel,2600099.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-titanium-sw-powershift-1216256,999.000 TL
152.49,RENAULT,FLUENCE,2014.0,"1,5",34AF8739,Mavi,OTOMOBİL(AA SEDAN) ,Z,ICON 1.5 DCİ 110 BG,Manuel,Dizel,3400246.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/fluence/dizel/icon-15-dci-110-bg-1404603,630.500 TL
79.187,RENAULT,KADJAR,2017.0,"1,5",34AFR129,Kahverengi,OTOMOBİL (AC STEYŞIN) ,RFE,1.5 DCI EDC 110 HP ICON,Yarı Otomatik,Dizel,3400246.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/kadjar/dizel/15-dci-edc-110-hp-icon-1404591,951.000 TL
148.502,FORD,FOCUS,2018.0,"1,5",34BJB133,Beyaz,OTOMOBİL ,DYB,1.5 ECOBLUE 120PS TITANIUM AUTO,Otomatik,Dizel,4700119.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15-ecoblue-120ps-titanium-auto-3406992,875.000 TL
110.468,HYUNDAI,IX35,2014.0,"1,6",01SG744,Beyaz,OTOMOBİL(AF ÇOK AMAÇLI) ,ELH,1.6 GDI ELITE OTM,Otomatik,Benzin,100025.0,Önden,https://www.otokocikinciel.com/ikinci-el-hyundai/ix35/benzin/16-gdi-elite-otm-2404799,785.000 TL
147.098,PEUGEOT,508,2019.0,"1,5",34BME795,Beyaz,OTOMOBİL (AB HEÇBEK) ,F,ALLURE 1.5 BLUEHDI 130HP EAT8,Otomatik,Dizel,100025.0,Önden,https://www.otokocikinciel.com/ikinci-el-peugeot/508/dizel/allure-15-bluehdi-130hp-eat8-2246829,1.138.000 TL
47.421,TOYOTA,COROLLA,2021.0,"1,5",34EGT811,Beyaz,"(EU,M)OTOMOBİL(AA SEDAN) ",ZE1EE,1.5 DREAM MULTIDRIVE S,Otomatik,Benzin,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-toyota/corolla/benzin/15-dream-multidrive-s-2405572,803.000 TL
96.164,OPEL,YENI CORSA,2013.0,"1,4",34AH1487,Mavi,OTOMOBİL(AF ÇOK AMAÇLI) ,S-D,"1.4I TWINPORT ENJOY ACTIVE 16"" AJ AUTO",Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/yeni-corsa/benzin/14i-twinport-enjoy-active-16-aj-auto-3404207,600.000 TL
100.944,OPEL,MOKKA,2016.0,"1,6",48J1984,Beyaz,OTOMOBİL(AF MPV) ,J-A,COSMO 1.6 136 HP AT FWD,Otomatik,Dizel,3500164.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/mokka/dizel/cosmo-16-136-hp-at-fwd-1404823,848.000 TL
165.735,AUDI,A3,2017.0,"1,6",16AUV356,Gri,OTOMOBİL AA SEDAN ,8V,SEDAN 1.6 TDI 110HP DESIGN LINE STR PI,Yarı Otomatik,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/a3/dizel/sedan-16-tdi-110hp-design-line-str-pi-3411463,1.079.000 TL
58.737,FORD,FOCUS,2018.0,"1,5",34BTD633,KUMSAL GRI+ TITANIUM SIYAH KUMAS,OTOMOBİL(AA SEDAN) ,DEH,1.5L TDCI 120PS TITANIUM AUTO,Otomatik,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-titanium-auto-3216225,990.000 TL
110.2,RENAULT,KADJAR,2017.0,"1,5",44KB978,Beyaz,OTOMOBİL AC STEYŞIN ,RFE,1.5 Blue DCI EDC 115 HP ICON,Yarı Otomatik,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/kadjar/dizel/15-blue-dci-edc-115-hp-icon-3411454,999.000 TL
115.0,OPEL,ASTRA,2016.0,"1,6",44KB010,Mavi,OTOMOBIL AC STEYŞIN ,B-K,1.6 D 136 PS SPORTS TOURER DYNAMIC AT,Otomatik,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/astra/dizel/16-d-136-ps-sports-tourer-dynamic-at-3405708,939.000 TL
162.166,FORD,FOCUS,2012.0,1,25AAU717,MANYETIK GRI,HUSUSİ ,OTO,STYLE 1.0 ECOBOOST 125PS 4K,Manuel,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/benzin/style-10-ecoboost-125ps-4k-3412402,600.000 TL
77.105,VOLKSWAGEN,PASSAT,2020.0,"1,5",34CYV416,Beyaz,OTOMOBİL(AA SEDAN) ,3C,1.5 TSI ACT 150 PS IMPRESSION DSG,Yarı Otomatik,Benzin,3400246.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/passat/benzin/15-tsi-act-150-ps-impression-dsg-1251417,1.187.000 TL
122.496,SEAT,LEON,2018.0,"1,6",34BIM831,Mavi,OTOMOBİL (AC STATION) ,5F,1.6 TDI 115 HP DSG S&S STYLE,Yarı Otomatik,Dizel,5500054.0,Önden,https://www.otokocikinciel.com/ikinci-el-seat/leon/dizel/16-tdi-115-hp-dsg-ss-style-2410762,816.000 TL
71.929,BMW,5 SERISI,2021.0,"1,6",34EGM984,Siyah,OTOMOBİL(AASEDAN) ,G5L,1.6 520I SPECIAL EDITION LUXURY LINE A,Otomatik,Benzin,3400163.0,Arkadan,https://www.otokocikinciel.com/ikinci-el-bmw/5-serisi/benzin/16-520i-special-edition-luxury-line-a-2278452,2.458.000 TL
75.642,SKODA,SUPERB,2021.0,"1,5",34EIS899,Gri,OTOMOBİL(AAA SEDAN) ,3T,1.5 TSI 150 PS DSG ACT PREMIUM,Yarı Otomatik,Benzin,5500075.0,Önden,https://www.otokocikinciel.com/ikinci-el-skoda/superb/benzin/15-tsi-150-ps-dsg-act-premium-1282499,1.177.000 TL
59.965,PEUGEOT,5008,2021.0,"1,5",34EZH657,Gri,OTOMOBİL( AF MPV) ,M,GT 1.5 BLUEHDI 130HP EAT8,Otomatik,Dizel,3400132.0,Önden,https://www.otokocikinciel.com/ikinci-el-peugeot/5008/dizel/gt-15-bluehdi-130hp-eat8-1297016,1.505.000 TL
141.098,NISSAN,QASHQAI,2013.0,"1,6",06BUL384,Siyah,OTOMOBİL(AF ÇOK AMAÇLI) ,J10,1.6 PLATINUM 4X2 CVT,Otomatik,Benzin,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-nissan/qashqai/benzin/16-platinum-4x2-cvt-3404819,839.000 TL
103.399,VOLKSWAGEN,POLO,2020.0,"1,6",34CTA981,Beyaz,OTOMOBİL(AB HECBEK) ,AW,1.6 TDI SCR 95 PS COMFORTLINE DSG,Yarı Otomatik,Dizel,3400152.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/polo/dizel/16-tdi-scr-95-ps-comfortline-dsg-2405461,795.000 TL
97.472,VOLKSWAGEN,TIGUAN,2018.0,"1,6",34BFF192,Beyaz,OTOMOBİL(AC STATİON) ,5N,1.6TDI SCR BMT 115 PS TRENDLINE,Manuel,Dizel,3400288.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/tiguan/dizel/16tdi-scr-bmt-115-ps-trendline-2407272,982.000 TL
16.985,RENAULT,CLIO,2022.0,1,34FBL228,Beyaz,OTOMOBİL(AB HATCBACK) ,RJA,JOY 1.0 TCE X-TRONIC 90 BG,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/clio/benzin/joy-10-tce-x-tronic-90-bg-3299156,830.000 TL
103.0,AUDI,A3,2019.0,"1,6",16ASB243,Beyaz,OTOMOBIL AA SEDAN ,8V,SEDAN 1.6 TDI 116 DESIGN LINE STR PI,Yarı Otomatik,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/a3/dizel/sedan-16-tdi-116-design-line-str-pi-3405598,1.259.000 TL
78.884,VOLKSWAGEN,POLO,2020.0,1,34DNU459,Beyaz,OTOMOBİL(AB HEÇBEK) ,AW,1.0 TSI 95 PS COMFORTLINE DSG.,Yarı Otomatik,Benzin,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/polo/benzin/10-tsi-95-ps-comfortline-dsg-3405575,839.000 TL
101.355,TOYOTA,COROLLA,2019.0,"1,8",35AEG059,Sarı,OTOMOBİL AA SEDAN ,"ZE1EE EU,M",1.8 HYBRID PASSION XPACK E-CVT,Otomatik,Hibrit,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-toyota/corolla/hibrit/18-hybrid-passion-xpack-e-cvt-3412609,1.064.000 TL
82.35,VOLKSWAGEN,PASSAT,2021.0,"1,5",06CJK058,Mavi,OTOMOBİL AA SEDAN ,3C,1.5 TSI ACT 150 PS BUSINESS DSG,Yarı Otomatik,Benzin,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-volkswagen/passat/benzin/15-tsi-act-150-ps-business-dsg-3412626,1.300.000 TL
